Company	Website url	Social url	Town	Industry	Main Tier	Sub tier	Date Added
13 Artists	https://www.13artists.com/		Brighton	Administrative and support	Temporary Worker (A rating)	Creative & Sporting	04/08/2013
1313 Global Limited	https://www.gbrbusiness.com/company/1313-Global-Limited		Hounslow	Wholesale & Retail	Worker (A rating)	Skilled Worker	28/07/2021
14 PROMOTIONS (TRADE) LIMITED	https://www.promosports.co.uk/		LONDON	Manufacturing	Worker (A rating)	Skilled Worker	24/01/2020
1508 London Limited	https://1508london.com/		London	Management	Worker (A rating)	Skilled Worker	14/12/2016
15GIFTS LTD	https://15gifts.com/		Brighton	Computer Programming	Worker (A rating)	Skilled Worker	03/05/2014
168 EXPRESS LTD	https://www.168express.co.uk/		CALDICOT	Wholesale & Retail	Worker (A rating)	Skilled Worker	21/04/2021
16HarleyCo Limited	https://www.companysearchesmadesimple.com/company/uk/11380263/16harleyco-limited/		London	Others	Worker (A rating)	Skilled Worker	10/01/2020
16printing Ltd	https://jewelleryquarter.net/directory/16printing-ltd/		Jewellery quarter	Others	Worker (A rating)	Skilled Worker	03/05/2014
17 Capital Services Ltd	https://www.17capital.com/		London	Administrative and support	Worker (A rating)	Skilled Worker	22/07/2019
1708 Retail Ltd	https://r.search.yahoo.com/cbclk2/dWU9RjQ5OTdFOThBQkU0NEZFOSZ1dD0xNjE1NDAzNzM1MDAzJnVvPTg0NzMxNDAyODg4MjgzJmx0PTImcz0xJmVzPWV5WkhZR0VHUFM4SXFYQXhrLlV6dU5yU2swUE1hc0FsMFJMTHY1WEE-/RV=2/RE=1615432535/RO=10/RU=https://www.bing.com/aclick?ld=e8bBv4cipsfccGcQsxZMNv_DVUCUykHpDYMobxQuipFi9czYY10SwyzHsKbQEUBY0v85qq0X1lZ2Wj_h9RbQ9A3zQ3pbk7HKmttC-a7dNP86kVw7p58N5x-3wAYFCDbFVZnww0qbH59EDm20eH7YRtJLKUoBBs8qFMRa8Zb6aiDCIBfUceX3ZR56sdUnWn4tWaIjQ_BQ&u=aHR0cHMlM2ElMmYlMmZ1ay5zZWVrd2ViLmNvbSUyZndzJTNmcSUzZGJlc3QlMjUyMGNybSUyNTIwZm9yJTI1MjByZXRhaWwlMjZhc2lkJTNkc3dfdWtfbWNfYmFfMDElMjZkZSUzZGMlMjZhYyUzZDE1MDYwJTI2Y2lkJTNkNDEzMDI3NDM3JTI2YWlkJTNkMTM1NTY5ODY1NDYzNDE2NyUyNmtpZCUzZGt3ZC04NDczMTU4MDkxNjU2MSUzYWxvYy0xODglMjZsb2NhbGUlM2Rlbl9HQiUyNm1zY2xraWQlM2RlNzBjYzkzMGRjYjgxNGE0NzA0N2E5NzljNjZmYjBmYw&rlid=e70cc930dcb814a47047a979c66fb0fc/RK=2/RS=YUlhQxiEgcfYn9gCpjEe81_CbpE-;_ylc=cnQDMQ--?IG=62886cd39edf4cfb8f00000000eb0ae6		Waterlooville	Others	Worker (A rating)	Skilled Worker	10/03/2021
